Username,Rank,Played,Victories,WinPercentage,Deaths,Blocks Destroyed,Powerups Collected,Vaults Used,BlocksPerGame,PowerupsPerGame,VaultsPerGame
Tahriq16YT,1,"1,594","1,564",0.98,26,"1,136,924","6,919","1,534",713.2521957,4.340652447,0.9623588457
w0LIV3,2,526,442,0.84,81,"398,379","1,302",935,757.3745247,2.475285171,1.77756654
Rerreee8742,3,241,171,0.71,36,"170,176",955,147,706.1244813,3.962655602,0.6099585062
TakeoutCrib7553,4,219,154,0.70,60,"183,433",775,254,837.5936073,3.538812785,1.159817352
Nixo990,5,188,146,0.78,41,"196,234",702,206,1043.797872,3.734042553,1.095744681
Pengubaguette,6,154,126,0.82,27,"141,224",579,61,917.038961,3.75974026,0.3961038961
Artem6365,7,169,120,0.71,48,"140,969","1,048",297,834.1360947,6.201183432,1.75739645
RedFoxNinja90,8,135,115,0.85,18,"106,735",678,45,790.6296296,5.022222222,0.3333333333
HarperOliver025,9,149,113,0.76,35,"69,049",580,146,463.4161074,3.89261745,0.9798657718
Lee1387,10,97,97,1.00,0,"74,610",449,10,769.1752577,4.628865979,0.1030927835
OutragedRelic22,11,128,97,0.76,28,"90,302",443,130,705.484375,3.4609375,1.015625
FusingPlum4115,12,190,93,0.49,93,"148,845",664,282,783.3947368,3.494736842,1.484210526
Scoundr3l,13,196,89,0.45,106,"146,461",583,486,747.25,2.974489796,2.479591837
MilkIsTight,14,250,86,0.34,153,"156,043",623,404,624.172,2.492,1.616
soccerdude20095,15,140,83,0.59,56,"119,269",365,74,851.9214286,2.607142857,0.5285714286
tanukiimo,16,128,79,0.62,48,"122,574",479,204,957.609375,3.7421875,1.59375
JTBlaBla,17,165,73,0.44,92,"149,081",556,330,903.5212121,3.36969697,2
Samcraft42,18,74,73,0.99,1,"58,375",349,70,788.8513514,4.716216216,0.9459459459
qPanee,19,101,72,0.71,28,"99,832",520,155,988.4356436,5.148514851,1.534653465
qDzrk,20,70,67,0.96,3,"56,263",277,31,803.7571429,3.957142857,0.4428571429
Yuzuriha851310,21,79,65,0.82,14,"66,241",410,127,838.4936709,5.189873418,1.607594937
Jayhawkboy14,22,160,64,0.40,94,"120,051",593,307,750.31875,3.70625,1.91875
vk2zt,23,135,63,0.47,70,"131,238",444,199,972.1333333,3.288888889,1.474074074
arfreis2005,24,390,61,0.16,326,"254,280",699,62,652,1.792307692,0.158974359
CyanTomato43222,25,76,57,0.75,16,"64,431",344,153,847.7763158,4.526315789,2.013157895
iyanatari,26,107,54,0.50,45,"80,116",422,200,748.7476636,3.943925234,1.869158879
Zinedinjackson,27,88,53,0.60,35,"80,220",342,169,911.5909091,3.886363636,1.920454545
TYzxinmar,28,59,53,0.90,6,"65,364",347,26,1107.864407,5.881355932,0.4406779661
Imstilla2970,29,64,52,0.81,11,"53,482",222,85,835.65625,3.46875,1.328125
Jvckel,30,93,52,0.56,39,"94,634",423,204,1017.569892,4.548387097,2.193548387
Katch 22,31,74,52,0.70,19,"62,635",244,102,846.4189189,3.297297297,1.378378378
Luca Goty6050,32,100,51,0.51,46,"98,920",252,149,989.2,2.52,1.49
jAnpooGi,33,79,51,0.65,27,"82,586",303,131,1045.392405,3.835443038,1.658227848
xhqhlz,34,77,51,0.66,26,"68,273",306,80,886.6623377,3.974025974,1.038961039
EastIsland45139,35,88,50,0.57,38,"75,435",268,186,857.2159091,3.045454545,2.113636364
REA1204,36,58,49,0.84,8,"65,252",403,48,1125.034483,6.948275862,0.8275862069
PyroPaimon,37,109,48,0.44,60,"97,030",252,80,890.1834862,2.311926606,0.7339449541
SkippingGull11,38,82,48,0.59,34,"70,100",196,135,854.8780488,2.390243902,1.646341463
Sarnard,39,90,47,0.52,42,"81,899",163,83,909.9888889,1.811111111,0.9222222222
BopoleGaming23,40,114,47,0.41,64,"88,748",244,118,778.4912281,2.140350877,1.035087719
Lettucethumb787,41,123,44,0.36,78,"94,680",519,392,769.7560976,4.219512195,3.18699187
Sombrero45,42,63,40,0.63,23,"53,989",287,91,856.968254,4.555555556,1.444444444
Vitalij211954,43,102,38,0.37,64,"84,991",457,162,833.245098,4.480392157,1.588235294
LuckyGlint6034,44,132,38,0.29,92,"89,037",250,197,674.5227273,1.893939394,1.492424242
